id,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
0,5,Barack Obama,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",6/11/2008,speech,Adriel Bettelheim,6/16/2008,https://www.politifact.com/factchecks/2008/jun/16/barack-obama/no-exemptions-for-debtors/
1,1,Matt Gaetz,"""Bennie Thompson actively cheer-led riots in the ’90s.""",6/7/2022,television,Yacob Reyes,6/13/2022,https://www.politifact.com/factchecks/2022/jun/13/matt-gaetz/gaetz-mischaracterizes-bennie-thompsons-stance-rio/
2,4,Kelly Ayotte,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",5/18/2016,news,Clay Wirestone,5/27/2016,https://www.politifact.com/factchecks/2016/may/27/kelly-ayotte/how-much-has-maggie-hassan-been-out-new-hampshire-/
3,1,Bloggers,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",2/1/2021,blog,Madison Czopek,2/5/2021,https://www.politifact.com/factchecks/2021/feb/05/blog-posting/no-cdc-isnt-inflating-coronavirus-statistics/
4,3,Bobby Jindal,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",8/30/2015,television,Linda Qiu,8/30/2015,https://www.politifact.com/factchecks/2015/aug/30/bobby-jindal/bobby-jindal-im-only-candidate-has-actually-reduce/
5,1,Michele Bachmann,"""My husband and I have never gotten a penny of money from the farm.""",6/26/2011,news,Robert Farley,7/1/2011,https://www.politifact.com/factchecks/2011/jul/01/michele-bachmann/rep-michele-bachmann-says-shes-never-received-penn/
6,4,Hillary Clinton,"Says ""Donald Trump says climate change is a hoax invented by the Chinese.""",6/2/2016,speech,Louis Jacobson,6/3/2016,https://www.politifact.com/factchecks/2016/jun/03/hillary-clinton/yes-donald-trump-did-call-climate-change-chinese-h/
7,0,Americans for Prosperity,"Says the stimulus bill sent tax credits overseas, such as ""$1.2 billion to a solar company that's building a plant in Mexico.""",4/26/2012,advertisement,Becky Bowers,5/2/2012,https://www.politifact.com/factchecks/2012/may/02/americans-prosperity/ad-says-stimulus-tax-credits-funded-solar-company-/
8,0,Michele Bachmann,"The IRS is going to be ""in charge"" of ""a huge national database"" on health care that will include Americans’ ""personal, intimate, most close-to-the-vest-secrets.""",5/15/2013,news,Louis Jacobson,5/20/2013,https://www.politifact.com/factchecks/2013/may/20/michele-bachmann/michele-bachmann-decries-huge-national-database-ru/
9,1,The Gateway Pundit,"""Newly discovered video shows late night deliveries of tens of thousands of illegal ballots 8 hours after deadline.""",2/5/2021,news,Clara Hendrickson,2/5/2021,https://www.politifact.com/factchecks/2021/feb/05/gateway-pundit/video-does-not-provide-evidence-election-fraud-det/
